"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Age Bracket","Percentage","Percentage: Lower bound","Percentage: Upper bound","Estimated number of people (thousands)","Estimated number of people (thousands): lower bound","Estimated number of people (thousands): upper bound","Note"
"Used the internet in the last 3 months","2018","Year","All","All","Wales","Region","16+","88.9","87.5","90.3","2247","2212","2283",""
"Used the internet in the last 3 months","2018","Year","All","All","Scotland","Region","16+","89.2","88.2","90.3","3943","3897","3989",""
"Used the internet in the last 3 months","2018","Year","All","All","Northern Ireland","Region","16+","85.6","84","87.1","1254","1231","1277",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","UK","UK","16+","89.3","89","89.6","41825","41678","41973",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","North East","Region","16+","87.1","85.5","88.7","1791","1758","1824",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","North West","Region","16+","88.6","87.6","89.6","4682","4631","4733",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","87.5","86.4","88.6","3465","3420","3510",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","East Midlands","Region","16+","88","86.8","89.2","3031","2990","3073",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","West Midlands","Region","16+","87.9","86.7","89","3443","3398","3489",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","East of England","Region","16+","90.2","89.3","91.2","4146","4102","4191",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","London","Region","16+","92.7","91.7","93.7","4154","4110","4199",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","South East","Region","16+","91.4","90.6","92.2","6065","6013","6117",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","South West","Region","16+","89.5","88.5","90.5","3851","3809","3893",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","Wales","Region","16+","88.7","87.2","90.1","2169","2134","2205",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","Scotland","Region","16+","89","87.9","90.1","3806","3760","3851",""
"Used the internet in the last 3 months","2018","Year","White","White,Asian,Black and Other","Northern Ireland","Region","16+","85.3","83.7","86.9","1221","1198","1244",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","16+","96.4","95.1","97.6","1294","1277","1310",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","North East","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","North West","Region","16+","95.7","91","100","104","99","109",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","East Midlands","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","West Midlands","Region","16+","98.4","95.5","100","92","89","95",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","East of England","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","London","Region","16+","95.4","93","97.8","551","537","565",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","South East","Region","16+","99.4","98.1","100","162","160","164",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","South West","Region","16+","92","84.9","99.1","65","60","70",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","Wales","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","Scotland","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Other inc. Mixed","White,Asian,Black and Other","Northern Ireland","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","UK","Region","16+","93.6","92.6","94.6","3064","3030","3097",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","North East","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","North West","Region","16+","92.7","89.2","96.3","264","254","274",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","91.1","87.1","95.1","242","231","253",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","East Midlands","Region","16+","88.9","83.9","93.9","184","173","194",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","West Midlands","Region","16+","94.4","92","96.9","422","411","432",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","East of England","Region","16+","96.3","93","99.5","170","164","176",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","London","Region","16+","92.6","90.7","94.6","1171","1147","1196",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","South East","Region","16+","97.1","95.1","99.1","354","347","362",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","South West","Region","16+","96.9","92.9","100","79","76","82",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","Wales","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","Scotland","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Asian","White,Asian,Black and Other","Northern Ireland","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","UK","UK","16+","91.2","89.4","93","1352","1325","1378",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","North East","Region","16+","?","?","?","?","?","?",""
"Used the internet in the last 3 months","2018","Year","Black","White,Asian,Black and Other","North West","Region","16+","93.9","88.2","99.6","90","85","96",""
