"Ethnicity","Local Authority","Number","%"
"Mixed","Redcar and Cleveland","0","0.00"
"Mixed","Richmond upon Thames","2","0.07"
"Mixed","Rochdale","5","0.29"
"Mixed","Rotherham","2","0.15"
"Mixed","Rutland","0","0.00"
"Mixed","Salford","4","0.15"
"Mixed","Sandwell","18","0.36"
"Mixed","Sefton","2","0.20"
"Mixed","Sheffield","30","0.50"
"Mixed","Shropshire","1","0.11"
"Mixed","Slough","1","0.04"
"Mixed","Solihull","10","0.32"
"Mixed","Somerset","1","0.06"
"Mixed","South Gloucestershire","5","0.25"
"Mixed","South Tyneside","2","0.44"
"Mixed","Southampton","2","0.10"
"Mixed","Southend-on-Sea","2","0.11"
"Mixed","Southwark","10","0.20"
"Mixed","St. Helens","0","0.00"
"Mixed","Staffordshire","6","0.15"
"Mixed","Stockport","2","0.09"
"Mixed","Stockton-on-Tees","1","0.11"
"Mixed","Stoke-on-Trent","3","0.16"
"Mixed","Suffolk","5","0.09"
"Mixed","Sunderland","0","0.00"
"Mixed","Surrey","5","0.05"
"Mixed","Sutton","4","0.11"
"Mixed","Swindon","2","0.10"
"Mixed","Tameside","6","0.35"
"Mixed","Telford and Wrekin","2","0.14"
"Mixed","Thurrock","3","0.18"
"Mixed","Torbay","3","0.48"
"Mixed","Tower Hamlets","2","0.07"
"Mixed","Trafford","12","0.39"
"Mixed","Wakefield","2","0.12"
"Mixed","Walsall","9","0.27"
"Mixed","Waltham Forest","12","0.25"
"Mixed","Wandsworth","3","0.07"
"Mixed","Warrington","0","0.00"
"Mixed","Warwickshire","2","0.05"
"Mixed","West Berkshire","0","0.00"
"Mixed","West Sussex","14","0.26"
"Mixed","Westminster","1","0.04"
"Mixed","Wigan","1","0.09"
"Mixed","Wiltshire","3","0.13"
"Mixed","Windsor and Maidenhead","2","0.11"
"Mixed","Wirral","1","0.07"
"Mixed","Wokingham","1","0.06"
"Mixed","Wolverhampton","35","0.68"
"Mixed","Worcestershire","10","0.35"
"Mixed","York","0","0.00"
"White","Barking and Dagenham","11","0.07"
"White","Barnet","12","0.04"
"White","Barnsley","44","0.14"
"White","Bath and North East Somerset","23","0.10"
